DateTime,Value_USD,TxnFee(USD),Percent_Change
2022-06-21,0.0,2.304136084442316,
2022-06-22,0.0,2.2292572164104203,
2022-06-23,0.0,3.747240475200474,
2022-06-24,0.0,2.2239589954520196,
2022-06-25,0.0,2.682983133466086,
2022-06-26,0.0,1.5048204567358883,
2022-06-27,0.0,4.535193206579367,
2022-06-28,0.0,3.2029519534601176,
2022-06-29,0.0,2.712237696632005,
2022-06-30,0.0,2.8009744336658073,
2022-07-01,0.0,1.45059043018765,
2022-07-02,0.0,1.6912847404387041,
2022-07-03,0.0,1.111514282126279,
2022-07-04,0.0,1.2238282406636285,
2022-07-05,0.0,1.3883647760781381,
2022-07-06,0.0,3.178971060247015,
2022-07-07,0.0,1.0978566468931903,
2022-07-08,0.0,1.5582321889371482,
2022-07-09,0.0,0.6290605521593567,
2022-07-10,0.0,0.7269584161603638,
2022-07-11,0.0,1.3333038963706858,
2022-07-12,0.0,1.0946936940323795,
2022-07-13,0.0,1.1779695127493086,
2022-07-14,0.0,1.3975266303550054,
2022-07-15,0.0,1.4878824550614265,
2022-07-16,0.0,0.7200660403478758,
2022-07-17,0.0,0.8858185654640676,
2022-07-18,0.0,1.3666117869405163,
2022-07-19,0.0,1.327945496655647,
2022-07-20,0.0,1.1907703373958665,
2022-07-21,0.0,0.6510053909210551,
2022-07-22,0.0,0.7055835888837888,
2022-07-23,0.0,0.9552622811085318,
2022-07-24,0.0,0.43406821546339674,
2022-07-25,0.0,0.5032832483883352,
2022-07-26,0.0,1.83588371096827,
2022-07-27,0.0,0.637282722550288,
2022-07-28,0.0,1.0851815978109063,
2022-07-29,0.0,0.9423416467074515,
2022-07-30,0.0,0.3703890181166585,
2022-07-31,0.0,0.5632494977909257,
2022-08-01,0.0,0.6043034534254134,
2022-08-02,0.0,1.547946350997895,
2022-08-03,0.0,0.577123370341444,
2022-08-04,0.0,0.46432902488758504,
2022-08-05,0.0,0.5107941001310966,
2022-08-06,0.0,0.5445597242876792,
2022-08-07,0.0,0.6225531546449615,
2022-08-08,0.0,1.1771322409871348,
2022-08-10,0.0,0.530306413471478,
2022-08-11,0.0,3.00755452274461,
2022-08-12,0.0,1.306476348245115,
2022-08-13,0.0,0.5412089571570774,
2022-08-14,0.0,0.7828382200533343,
2022-08-15,0.0,1.4897362250797916,
2022-08-18,0.0,0.5761870690329141,
2022-08-19,0.0,1.8936349083401867,
2022-08-20,0.0,0.5314560570629165,
2022-08-21,0.0,0.33432163993264197,
2022-08-23,0.0,0.6773256019468811,
2022-08-24,0.0,1.05908141174603,
2022-08-25,0.0,0.7589456419746625,
2022-08-28,0.0,0.432088809262425,
2022-08-30,0.0,1.1727480822319065,
2022-08-31,0.0,0.9407947183685303,
2022-09-01,0.0,0.99853438618843,
2022-09-03,0.0,0.486157163652173,
2022-09-04,0.0,0.44096547378033796,
2022-09-06,0.0,1.2762486865688925,
2022-09-07,0.0,2.11901821845953,
2022-09-08,0.0,1.86317430144324,
2022-09-09,0.0,1.53459869447278,
2022-09-10,0.0,0.651706257853235,
2022-09-11,0.0,1.0223155406549855,
2022-09-12,0.0,0.428405492231955,
2022-09-13,0.0,0.5048419771427379,
2022-09-14,0.0,0.777920333438307,
2022-09-16,0.0,0.34126603421971624,
2022-09-17,0.0,0.3592150413560062,
2022-09-18,0.0,0.366070138986465,
2022-09-19,0.0,0.9565531760386985,
2022-09-21,0.0,0.6034400962598929,
2022-09-22,0.0,0.610924680953736,
2022-09-23,0.0,0.42267307894413053,
2022-09-25,0.0,0.571716420235284,
2022-09-26,0.0,0.700744933641879,
2022-09-27,0.0,0.8156845944296075,
2022-09-28,0.0,0.7480878794388875,
2022-09-30,0.0,0.690550511749147,
2022-10-02,0.0,0.407697942248242,
2022-10-03,0.0,0.21974985261553168,
2022-10-04,0.0,0.630952759276296,
2022-10-08,0.0,0.393133691433437,
2022-10-09,0.0,1.531373542558985,
2022-10-10,0.0,3.84287154883528,
2022-10-11,0.0,8.90969231868998,
2022-10-12,0.0,1.100745216706242,
2022-10-13,0.0,0.775665126911284,
2022-10-15,0.0,0.476115512454886,
2022-10-16,0.0,1.576196408364566,
2022-10-17,0.0,1.1901449891212026,
2022-10-19,0.0,1.29299784715074,
2022-10-20,0.0,1.5970914104662775,
2022-10-22,0.0,0.9130496384565189,
2022-10-23,0.0,0.9787815429731825,
2022-10-24,0.0,1.84901481022547,
2022-10-26,0.0,1.40106202427838,
2022-10-27,0.0,0.5425149615285976,
2022-10-28,0.0,0.774907588953818,
2022-10-29,0.0,1.05352223396004,
2022-10-30,0.0,0.24788800475134,
2022-11-01,0.0,0.7456412692060106,
2022-11-04,0.0,1.40176387926634,
2022-11-06,0.0,0.6182901810338454,
2022-11-07,0.0,1.29098502801124,
2022-11-08,0.0,2.2202686417747506,
2022-11-17,0.0,1.0036049933268494,
2022-11-18,0.0,0.929791937945234,
2022-11-20,0.0,0.6267638615525016,
2022-11-23,0.0,0.753115128815117,
2022-11-24,0.0,0.710280437077692,
2022-11-26,0.0,0.701335016592139,
2022-11-27,0.0,1.21609828215199,
2022-11-30,0.0,1.52023355160818,
2022-12-01,0.0,0.688331554200243,
2022-12-02,0.0,0.7227514216359852,
2022-12-03,0.0,0.983815613075551,
2022-12-08,0.0,1.27665081245262,
