"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1272.79/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x07a3d20132a54b66ccbe84a84ad13d7954dd9f02059a44b79c8724e140d3c93a","14174459","1644444145","2022-02-09 22:02:25","0xc95633ea622f82ed02284c489dbcd1cfc6a7d256","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02313444501003868","29.4452902643271","3246.72","","","Whitelist Mint",""
"0x8c1ef626c57dfdeb226ce6c6c52b9ea2cd52cee6195d6ac384b6fddd7548c5b5","14174459","1644444145","2022-02-09 22:02:25","0xe433006a6eb6ad43c270315dbe21e0f94667fd16","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02313798171998788","29.4497917533834","3246.72","","","Whitelist Mint",""
"0xad8f579d01056356625ce6309005d5df55c6c4f96624844edc961162751268c6","14174459","1644444145","2022-02-09 22:02:25","0x930893dc3310b06d9965803147bafc8f42e4dd1e","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.3","0","381.837","0.03636056131673028","46.2793588383211","3246.72","","","Whitelist Mint",""
"0x60d94c3aa5d1d2f65444d84dcb01e19d61af0f244367c9172444d7bb00488157","14174459","1644444145","2022-02-09 22:02:25","0x83a4d9f3135975c753dac49e5b3ce030a5c48d1f","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02313161564207932","29.4416890730821","3246.72","","","Whitelist Mint",""
"0xd695a336ba6add9c4306ab4e764b82f7c22d4abeea46a8774176e8f4c31c2f39","14174459","1644444145","2022-02-09 22:02:25","0xcc18ed18c174624b338a2dbd4bee2ca5a4a89c43","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02313232298406916","29.4425893708934","3246.72","","","Whitelist Mint",""
"0x2364840b1e34c8838c62e2d9e5280e1bce4c6f11ed3956e4d446b125100d8865","14174459","1644444145","2022-02-09 22:02:25","0x64db295545269c417b4cf428f83cf25efb7ad9f0","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.0231342092293754","29.4449901650567","3246.72","","","Whitelist Mint",""
"0xbbe9931edce55959d94d053bd6a159268b9f2a5b6b8fb25801cf04ebcbf8dd4e","14174459","1644444145","2022-02-09 22:02:25","0x192da10e44415df72aeb9237d9a2d59df6b5130e","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02298425272752932","29.254127029072","3246.72","","","Whitelist Mint",""
"0x5d3fc3c5ec4edc2013d2c9cafd4bcd461ed710c135d28bbb43b264d686788d52","14174459","1644444145","2022-02-09 22:02:25","0x7f0449a65418cdfefbfacbca170e3b5bd4d276ee","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.023133030326059","29.4434896687046","3246.72","","","Whitelist Mint",""
"0x42b6adc4182484aac188183efd9f9a7386621cc2acfbe1365f3b178a6cae3dd6","14174459","1644444145","2022-02-09 22:02:25","0x3693ef536b84e9e94a86f8f43bb805f6e138d159","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02268929111776604","28.8787028417814","3246.72","","","Whitelist Mint",""
"0x11a581d8f01a2155b229ad08277f55b2804631f2d10ee699a92b7a3e96a9d746","14174459","1644444145","2022-02-09 22:02:25","0x8d6071812a89929f7835fcd02f48166dd8aa6802","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02313444501003868","29.4452902643271","3246.72","","","Whitelist Mint",""
